date,equity_rsi,aapl_buy_hold
2024-01-02,10000.0,10000.0
2024-01-03,10000.0,9925.16203151757
2024-01-04,10000.0,9799.059241757528
2024-01-05,10000.0,9759.770663082825
2024-01-08,10000.0,9995.718899703032
2024-01-09,10000.0,9973.121193072204
2024-01-10,10000.0,10029.642555220775
2024-01-11,10000.0,9997.29044285002
2024-01-12,10000.0,10015.065137753885
2024-01-16,10000.0,9891.726096286822
2024-01-17,10000.0,9840.515466152212
2024-01-18,10000.0,10161.056076994775
2024-01-19,10000.0,10318.914876552575
2024-01-22,10000.0,10444.421563739623
2024-01-23,10000.0,10513.894609065093
2024-01-24,10000.0,10477.261396397373
2024-01-25,10000.0,10459.486701493508
2024-01-26,10000.0,10365.248303817223
2024-01-29,10000.0,10328.073179719508
2024-01-30,10000.0,10129.245876054018
2024-01-31,10000.0,9933.182320681508
2024-02-01,10000.0,10065.7338564585
2024-02-02,10000.0,10011.380140029913
2024-02-05,10000.0,10109.953829146165
2024-02-06,10000.0,10197.2015693755
2024-02-07,10000.0,10203.162595105456
2024-02-08,10000.0,10144.365204950902
2024-02-09,10000.0,10185.875620488587
2024-02-12,10000.0,10094.238397676283
2024-02-13,10000.0,9980.382806234147
2024-02-14,10000.0,9932.369453536514
2024-02-15,10000.0,9916.762404352632
2024-02-16,10000.0,9833.145470704269
2024-02-20,10000.0,9792.664686883574
2024-02-21,10000.0,9833.687382134263
2024-02-22,10000.0,9944.237313853422
2024-02-23,10000.0,9844.471419591182
2024-02-26,10000.0,9771.150803112738
2024-02-27,10000.0,9850.432445321136
2024-02-28,10000.0,9785.132118006633
2024-02-29,10000.0,9748.986625625908
2024-03-01,10000.0,9690.243426614354
2024-03-04,10000.0,9444.269828539222
2024-03-05,9715.68250543675,9175.752714976265
2024-03-06,9658.532106933217,9121.778336548674
2024-03-07,9651.646516752067,9115.275399388724
2024-03-08,9750.454735851547,9208.592547634014
2024-03-11,9865.84575130396,9317.570936206186
2024-03-12,9893.158592355847,9343.36592027399
2024-03-13,9773.234563367512,9230.10643140485
2024-03-14,9880.075971011667,9331.010339670085
2024-03-15,9858.38636194105,9310.52608761624
2024-03-18,9921.217372344028,9369.865389200788
2024-03-19,10055.945420221833,9497.106192963822
2024-03-20,10203.87084928017,9636.81095961676
2024-03-21,9786.948363811634,9243.058114581752
2024-03-22,9838.934569679304,9292.155290139379
2024-03-25,9757.340326032696,9215.095484793965
2024-03-26,9692.156738984491,9153.534346346432
2024-03-27,9897.748985809947,9347.701211713957
2024-03-28,9793.26015481102,9249.019140311708
2024-04-01,9710.518312800887,9170.8755121063
2024-04-02,9642.465729843869,9106.604816508789
2024-04-03,9688.713943893918,9150.282877766458
2024-04-04,9641.318131480346,9105.520993648799
2024-04-05,9684.697349621581,9146.489497756487
2024-04-08,9620.259701509665,9085.632844167949
2024-04-09,9689.861542257442,9151.36670062645
2024-04-10,9581.929916167941,9049.433160644225
2024-04-11,9996.557204909428,9441.01835995925
2024-04-12,10082.79922192831,9522.467647887628
2024-04-15,9862.402956213386,9314.31946762621
2024-04-16,9673.336125822685,9135.759651442568
2024-04-17,9594.496118248537,9061.301020961135
2024-04-18,9539.69829639023,9009.548479396526
2024-04-19,9419.25784813831,8895.801270240392
2024-04-22,9471.186674087803,8944.84425465502
2024-04-23,9531.665107845558,9001.961719376584
2024-04-24,9652.794115115592,9116.359222248715
2024-04-25,9702.485124256214,9163.288752086359
2024-04-26,9668.803112286763,9131.4785511456
2024-04-29,9908.651170263433,9357.99752888388
2024-04-30,9727.56014849923,9186.970281577178
2024-05-01,9668.803112286763,9131.4785511456
2024-05-02,9881.797368556954,9332.636073960071
2024-05-03,10472.867905690367,9890.859037998829
2024-05-06,10377.502481681462,9800.793358333513
2024-05-07,10416.86510555036,9837.968482431232
2024-05-08,10436.316897812105,9856.339279908092
2024-05-09,10540.863108729209,9955.075542453342
2024-05-10,10468.162752399916,9886.415364272863
2024-05-13,10652.983468845576,10060.965035874537
2024-05-14,10718.683475157364,10123.013894609065
